Year,Month,Number of Households,Median Income (dollars),Zip Code
2013,9,8855,40698.0,75020
2013,10,8848,40798.333333333336,75020
2013,11,8841,40898.666666666664,75020
2013,12,8835,40999.0,75020
2014,1,8834,41069.333333333336,75020
2014,2,8833,41139.666666666664,75020
2014,3,8832,41210.0,75020
2014,4,8831,41280.333333333336,75020
2014,5,8830,41350.666666666664,75020
2014,6,8829,41421.0,75020
2014,7,8828,41491.333333333336,75020
2014,8,8827,41561.666666666664,75020
2014,9,8826,41632.0,75020
2014,10,8825,41702.333333333336,75020
2014,11,8824,41772.666666666664,75020
2014,12,8824,41843.0,75020
2015,1,8830,41949.166666666664,75020
2015,2,8836,42055.333333333336,75020
2015,3,8843,42161.5,75020
2015,4,8849,42267.666666666664,75020
2015,5,8855,42373.833333333336,75020
2015,6,8862,42480.0,75020
2015,7,8868,42586.166666666664,75020
2015,8,8874,42692.333333333336,75020
2015,9,8881,42798.5,75020
2015,10,8887,42904.666666666664,75020
2015,11,8893,43010.833333333336,75020
2015,12,8900,43117.0,75020
2016,1,8890,43511.666666666664,75020
2016,2,8881,43906.333333333336,75020
2016,3,8871,44301.0,75020
2016,4,8862,44695.666666666664,75020
2016,5,8852,45090.333333333336,75020
2016,6,8843,45485.0,75020
2016,7,8833,45879.666666666664,75020
2016,8,8824,46274.333333333336,75020
2016,9,8814,46669.0,75020
2016,10,8805,47063.666666666664,75020
2016,11,8795,47458.333333333336,75020
2016,12,8786,47853.0,75020
2011,1,3198,45733.0,75021
2011,2,3198,45733.0,75021
2011,3,3198,45733.0,75021
2011,4,3198,45733.0,75021
2011,5,3198,45733.0,75021
2011,6,3198,45733.0,75021
2011,7,3198,45733.0,75021
2011,8,3198,45733.0,75021
2011,9,3198,45733.0,75021
2011,10,3198,45733.0,75021
2011,11,3198,45733.0,75021
2011,12,3198,45733.0,75021
2012,1,3200,45340.916666666664,75021
2012,2,3203,44948.833333333336,75021
2012,3,3206,44556.75,75021
2012,4,3209,44164.666666666664,75021
2012,5,3211,43772.583333333336,75021
2012,6,3214,43380.5,75021
2012,7,3217,42988.416666666664,75021
2012,8,3220,42596.333333333336,75021
2012,9,3222,42204.25,75021
2012,10,3225,41812.166666666664,75021
2012,11,3228,41420.083333333336,75021
2012,12,3231,41028.0,75021
2013,1,3231,40942.333333333336,75021
2013,2,3231,40856.666666666664,75021
2013,3,3231,40771.0,75021
2013,4,3231,40685.333333333336,75021
2013,5,3231,40599.666666666664,75021
2013,6,3231,40514.0,75021
2013,7,3231,40428.333333333336,75021
2013,8,3231,40342.666666666664,75021
2013,9,3231,40257.0,75021
2013,10,3231,40171.333333333336,75021
2013,11,3231,40085.666666666664,75021
2013,12,3232,40000.0,75021
2014,1,3231,39987.166666666664,75021
2014,2,3231,39974.333333333336,75021
2014,3,3231,39961.5,75021
2014,4,3231,39948.666666666664,75021
2014,5,3231,39935.833333333336,75021
2014,6,3231,39923.0,75021
2014,7,3231,39910.166666666664,75021
2014,8,3231,39897.333333333336,75021
2014,9,3231,39884.5,75021
2014,10,3231,39871.666666666664,75021
2014,11,3231,39858.833333333336,75021
2014,12,3231,39846.0,75021
2015,1,3230,39778.75,75021
2015,2,3230,39711.5,75021
2015,3,3230,39644.25,75021
2015,4,3230,39577.0,75021
2015,5,3230,39509.75,75021
2015,6,3230,39442.5,75021
2015,7,3229,39375.25,75021
2015,8,3229,39308.0,75021
2015,9,3229,39240.75,75021
2015,10,3229,39173.5,75021
2015,11,3229,39106.25,75021
2015,12,3229,39039.0,75021
2016,1,3227,39245.083333333336,75021
2016,2,3226,39451.166666666664,75021
2016,3,3225,39657.25,75021
2016,4,3224,39863.333333333336,75021
2016,5,3223,40069.416666666664,75021
2016,6,3222,40275.5,75021
2016,7,3221,40481.583333333336,75021
2016,8,3220,40687.666666666664,75021
2016,9,3219,40893.75,75021
2016,10,3218,41099.833333333336,75021
2016,11,3217,41305.916666666664,75021
2016,12,3216,41512.0,75021
2011,1,6744,141625.0,75022
2011,2,6744,141625.0,75022
2011,3,6744,141625.0,75022
2011,4,6744,141625.0,75022
2011,5,6744,141625.0,75022
2011,6,6744,141625.0,75022
2011,7,6744,141625.0,75022
2011,8,6744,141625.0,75022
2011,9,6744,141625.0,75022
2011,10,6744,141625.0,75022
2011,11,6744,141625.0,75022
2011,12,6744,141625.0,75022
2012,1,6758,141555.16666666666,75022
2012,2,6772,141485.33333333334,75022
2012,3,6786,141415.5,75022
2012,4,6800,141345.66666666666,75022
2012,5,6814,141275.83333333334,75022
2012,6,6828,141206.0,75022
2012,7,6842,141136.16666666666,75022
2012,8,6856,141066.33333333334,75022
2012,9,6870,140996.5,75022
2012,10,6884,140926.66666666666,75022
2012,11,6898,140856.83333333334,75022
